Query,BM25(ms),BM25@5,Brute(ms),Brute@5,Chroma(ms),Chroma@5,Pinecone(ms),Pinecone@5,Model
Python developer with machine learning experience,92.63467788696289,1.0,38.48671913146973,1.0,33.94174575805664,1.0,345.048189163208,1.0,minilm
Data scientist skilled in NLP and deep learning,128.62706184387207,1.0,38.89322280883789,1.0,2.1767616271972656,1.0,241.6098117828369,1.0,minilm
Backend engineer with Django and REST API,112.74433135986328,1.0,37.69636154174805,0.2,2.1300315856933594,0.2,286.9598865509033,0.2,minilm
AI engineer with TensorFlow and PyTorch,91.8266773223877,1.0,34.5606803894043,0.8,2.1245479583740234,0.8,241.41454696655273,0.8,minilm
Software developer with strong DSA skills,94.99788284301758,1.0,37.03594207763672,0.0,2.1610260009765625,0.2,258.38303565979004,0.0,minilm
Fresher software engineer with internship experience,90.61741828918457,1.0,38.11812400817871,0.6,1.983642578125,0.6,241.8065071105957,0.6,minilm
Candidate with two years experience in data analytics,116.01567268371582,1.0,37.7500057220459,1.0,1.6949176788330078,1.0,242.10190773010254,1.0,minilm
Entry level data scientist with projects,91.49479866027832,1.0,34.22832489013672,0.0,1.7311573028564453,0.0,244.401216506958,0.0,minilm
Full stack developer with React and Node.js,100.97026824951172,1.0,37.888526916503906,1.0,1.974344253540039,1.0,241.29486083984375,1.0,minilm
Professional with AWS cloud experience,80.12723922729492,1.0,38.00678253173828,1.0,1.7952919006347656,1.0,240.27514457702637,1.0,minilm
Computer science graduate in AI,80.61790466308594,1.0,38.11287879943848,1.0,1.8651485443115234,1.0,242.4778938293457,1.0,minilm
BTech graduate with programming skills,77.68845558166504,1.0,37.4903678894043,0.0,1.8856525421142578,0.0,242.08712577819824,0.0,minilm
Engineering student with research background,76.9658088684082,1.0,38.52200508117676,0.4,2.146482467651367,0.2,239.78710174560547,0.4,minilm
Graduate specialized in data science,73.35662841796875,1.0,44.04306411743164,1.0,1.6775131225585938,1.0,248.98386001586914,1.0,minilm
Resume for ML engineer role,78.34291458129883,1.0,39.827585220336914,0.4,2.131938934326172,1.0,240.65017700195312,0.4,minilm
Profile for data analyst job,83.65392684936523,1.0,40.03763198852539,0.4,1.7087459564208984,0.0,241.28460884094238,0.4,minilm
Backend Python developer profile,60.1963996887207,0.0,35.2933406829834,0.0,1.9237995147705078,0.0,240.70072174072266,0.0,minilm
Business intelligence analyst profile,62.97588348388672,0.4,37.763357162475586,0.4,2.5784969329833984,0.4,241.97983741760254,0.4,minilm
Experience with SQL Power BI Tableau,91.84622764587402,1.0,39.6418571472168,0.6,2.0411014556884766,0.6,243.76440048217773,0.6,minilm
Docker Kubernetes DevOps experience,67.05188751220703,1.0,37.26506233215332,0.8,1.77001953125,1.0,243.71838569641113,0.8,minilm
Python developer with machine learning experience,89.97917175292969,1.0,63.381195068359375,0.6,34.67226028442383,0.6,544.2929267883301,0.6,mpnet
Data scientist skilled in NLP and deep learning,125.23913383483887,1.0,78.98545265197754,1.0,2.057790756225586,0.4,238.9373779296875,1.0,mpnet
Backend engineer with Django and REST API,104.2943000793457,1.0,65.89555740356445,0.0,2.5527477264404297,0.0,238.16895484924316,0.0,mpnet
AI engineer with TensorFlow and PyTorch,97.53251075744629,1.0,65.20485877990723,0.0,2.346038818359375,0.0,235.19587516784668,0.0,mpnet
Software developer with strong DSA skills,84.9294662475586,1.0,70.3423023223877,0.2,2.8607845306396484,0.0,237.8833293914795,0.2,mpnet
Fresher software engineer with internship experience,88.6838436126709,1.0,69.93246078491211,0.0,1.9979476928710938,0.0,235.15081405639648,0.0,mpnet
Candidate with two years experience in data analytics,114.36700820922852,1.0,71.30575180053711,0.2,2.256155014038086,0.2,234.76934432983398,0.2,mpnet
Entry level data scientist with projects,87.83745765686035,1.0,70.2507495880127,0.4,2.614736557006836,0.4,237.19286918640137,0.4,mpnet
Full stack developer with React and Node.js,99.33805465698242,1.0,70.40119171142578,0.8,2.6268959045410156,0.8,234.17329788208008,0.8,mpnet
Professional with AWS cloud experience,78.16410064697266,1.0,70.93238830566406,0.8,2.0933151245117188,0.8,244.02141571044922,0.8,mpnet
Computer science graduate in AI,88.84787559509277,1.0,62.872886657714844,0.6,2.4156570434570312,0.0,235.93401908874512,0.6,mpnet
BTech graduate with programming skills,74.66745376586914,1.0,68.36867332458496,0.0,2.1419525146484375,0.0,234.84134674072266,0.0,mpnet
Engineering student with research background,73.12440872192383,1.0,71.65145874023438,0.0,2.5310516357421875,0.0,287.0960235595703,0.0,mpnet
Graduate specialized in data science,76.29656791687012,1.0,71.380615234375,1.0,2.2907257080078125,1.0,235.1083755493164,1.0,mpnet
Resume for ML engineer role,76.27630233764648,1.0,70.36638259887695,0.0,2.1867752075195312,0.0,233.08348655700684,0.0,mpnet
Profile for data analyst job,77.72588729858398,1.0,70.53112983703613,0.8,2.122640609741211,0.8,242.2621250152588,0.8,mpnet
Backend Python developer profile,59.37933921813965,0.0,65.14382362365723,0.0,2.270936965942383,0.0,235.3682518005371,0.0,mpnet
Business intelligence analyst profile,60.8367919921875,0.4,70.48535346984863,0.0,2.4089813232421875,0.0,233.73770713806152,0.0,mpnet
Experience with SQL Power BI Tableau,91.60566329956055,1.0,69.27919387817383,1.0,2.5093555450439453,1.0,299.060583114624,1.0,mpnet
Docker Kubernetes DevOps experience,66.35284423828125,1.0,69.42009925842285,0.4,1.9998550415039062,0.4,236.76443099975586,0.4,mpnet
